task,model,feature_set,validation_accuracy,train_accuracy,overfit_gap,details,validation_r2,train_r2,selected_best_model,best_combined_local_score
classification,logistic_regression,raw_baseline,0.634,0.6452142857142857,0.011214285714285732,"{'confusion_matrix': [[873, 364, 104, 4, 0], [362, 732, 344, 18, 0], [165, 486, 515, 231, 3], [37, 68, 110, 1035, 112], [3, 3, 5, 143, 1283]]}",,,False,0.8224398326122259
classification,xgboost_classifier,engineered_v1,0.7921428571428571,0.9486428571428571,0.15649999999999997,"{'confusion_matrix': [[1125, 211, 8, 1, 0], [218, 1038, 196, 4, 0], [17, 258, 947, 177, 1], [1, 7, 157, 1136, 61], [0, 0, 4, 134, 1299]]}",,,False,0.8224398326122259
classification,lightgbm_classifier,engineered_v1,0.7911428571428571,0.9985,0.2073571428571429,"{'confusion_matrix': [[1090, 242, 12, 1, 0], [214, 1022, 214, 6, 0], [13, 230, 992, 164, 1], [0, 9, 152, 1137, 64], [0, 0, 4, 136, 1297]]}",,,False,0.8224398326122259
classification,tuned_weighted_classification_ensemble,engineered_v1,0.7978571428571428,,,"{'members': ['xgboost_classifier', 'lightgbm_classifier', 'logistic_regression'], 'weights': [0.6, 0.3, 0.1]}",,,True,0.8224398326122259
regression,elastic_net,raw_baseline,,,0.0052483466758304065,"{'prediction_min': 3.977278663303053, 'prediction_max': 38.327814079828826}",0.6183278859038575,0.6235762325796879,False,0.8224398326122259
regression,xgboost_regressor,engineered_v1,,,0.08522622512542333,"{'prediction_min': 5.307031154632568, 'prediction_max': 38.79800033569336}",0.8404443941916351,0.9256706193170584,False,0.8224398326122259
regression,lightgbm_regressor,engineered_v1,,,0.10484793143819815,"{'prediction_min': 5.1506855169254715, 'prediction_max': 38.588393639214544}",0.8393959363607852,0.9442438677989834,False,0.8224398326122259
regression,catboost_regressor,engineered_v1,,,0.022291180984385095,"{'prediction_min': 5.269859385083276, 'prediction_max': 39.12528358686514}",0.8464464731451519,0.868737654129537,False,0.8224398326122259
regression,tuned_weighted_regression_ensemble,engineered_v1,,,,"{'members': ['catboost_regressor', 'xgboost_regressor', 'lightgbm_regressor'], 'weights': [0.7, 0.2, 0.1]}",0.8470225223673089,,True,0.8224398326122259
